HAID,FID,HID,NR,ZEIT_ANKUFT,ZEIT_ABFAHRT
1017001008003,1017001008,10219,3,10:37:20,10:37:50
1017001008004,1017001008,10243,4,10:38:39,10:39:09
1017001008005,1017001008,10278,5,10:40:00,10:40:30
1017001008006,1017001008,10222,6,10:41:37,10:42:07
1017001008007,1017001008,10260,7,10:42:46,10:43:16
1017001008008,1017001008,10216,8,10:43:57,10:44:27
1017001008009,1017001008,10246,9,10:45:19,10:45:49
1017001008010,1017001008,10264,10,10:46:30,10:47:00
1017001008011,1017001008,10320,11,10:47:54,10:48:24
1017001008012,1017001008,10245,12,10:49:16,10:49:46
1017001008013,1017001008,10310,13,10:50:11,
1017001009001,1017001009,10170,1,,10:40:00
1017001009002,1017001009,10295,2,10:40:48,10:41:18
1017001009003,1017001009,10219,3,10:42:20,10:42:50
1017001009004,1017001009,10243,4,10:43:39,10:44:09
1017001009005,1017001009,10278,5,10:45:00,10:45:30
1017001009006,1017001009,10222,6,10:46:37,10:47:07
1017001009007,1017001009,10260,7,10:47:46,10:48:16
1017001009008,1017001009,10216,8,10:48:57,10:49:27
1017001009009,1017001009,10246,9,10:50:19,10:50:49
1017001009010,1017001009,10264,10,10:51:30,10:52:00
1017001009011,1017001009,10320,11,10:52:54,10:53:24
1017001009012,1017001009,10245,12,10:54:16,10:54:46
1017001009013,1017001009,10310,13,10:55:11,
1017001010001,1017001010,10170,1,,10:45:00
1017001010002,1017001010,10295,2,10:45:48,10:46:18
1017001010003,1017001010,10219,3,10:47:20,10:47:50
1017001010004,1017001010,10243,4,10:48:39,10:49:09
1017001010005,1017001010,10278,5,10:50:00,10:50:30
1017001010006,1017001010,10222,6,10:51:37,10:52:07
1017001010007,1017001010,10260,7,10:52:46,10:53:16
1017001010008,1017001010,10216,8,10:53:57,10:54:27
1017001010009,1017001010,10246,9,10:55:19,10:55:49
1017001010010,1017001010,10264,10,10:56:30,10:57:00
1017001010011,1017001010,10320,11,10:57:54,10:58:24
1017001010012,1017001010,10245,12,10:59:16,10:59:46
1017001010013,1017001010,10310,13,11:00:11,
1017001011001,1017001011,10170,1,,10:50:00
1017001011002,1017001011,10295,2,10:50:48,10:51:18
1017001011003,1017001011,10219,3,10:52:20,10:52:50
1017001011004,1017001011,10243,4,10:53:39,10:54:09
1017001011005,1017001011,10278,5,10:55:00,10:55:30
1017001011006,1017001011,10222,6,10:56:37,10:57:07
1017001011007,1017001011,10260,7,10:57:46,10:58:16
1017001011008,1017001011,10216,8,10:58:57,10:59:27
1017001011009,1017001011,10246,9,11:00:19,11:00:49
1017001011010,1017001011,10264,10,11:01:30,11:02:00
1017001011011,1017001011,10320,11,11:02:54,11:03:24
1017001011012,1017001011,10245,12,11:04:16,11:04:46
1017001011013,1017001011,10310,13,11:05:11,
1017001012001,1017001012,10170,1,,10:55:00
1017001012002,1017001012,10295,2,10:55:48,10:56:18
1017001012003,1017001012,10219,3,10:57:20,10:57:50
1017001012004,1017001012,10243,4,10:58:39,10:59:09
1017001012005,1017001012,10278,5,11:00:00,11:00:30
1017001012006,1017001012,10222,6,11:01:37,11:02:07
1017001012007,1017001012,10260,7,11:02:46,11:03:16
1017001012008,1017001012,10216,8,11:03:57,11:04:27
1017001012009,1017001012,10246,9,11:05:19,11:05:49
1017001012010,1017001012,10264,10,11:06:30,11:07:00
1017001012011,1017001012,10320,11,11:07:54,11:08:24
1017001012012,1017001012,10245,12,11:09:16,11:09:46
1017001012013,1017001012,10310,13,11:10:11,
1017001013001,1017001013,10170,1,,11:00:00
1017001013002,1017001013,10295,2,11:00:48,11:01:18
1017001013003,1017001013,10219,3,11:02:20,11:02:50
1017001013004,1017001013,10243,4,11:03:39,11:04:09
1017001013005,1017001013,10278,5,11:05:00,11:05:30
1017001013006,1017001013,10222,6,11:06:37,11:07:07
1017001013007,1017001013,10260,7,11:07:46,11:08:16
1017001013008,1017001013,10216,8,11:08:57,11:09:27
1017001013009,1017001013,10246,9,11:10:19,11:10:49
1017001013010,1017001013,10264,10,11:11:30,11:12:00
1017001013011,1017001013,10320,11,11:12:54,11:13:24
1017001013012,1017001013,10245,12,11:14:16,11:14:46
1017001013013,1017001013,10310,13,11:15:11,
1017001014001,1017001014,10170,1,,11:05:00
1017001014002,1017001014,10295,2,11:05:48,11:06:18
1017001014003,1017001014,10219,3,11:07:20,11:07:50
1017001014004,1017001014,10243,4,11:08:39,11:09:09
1017001014005,1017001014,10278,5,11:10:00,11:10:30
1017001014006,1017001014,10222,6,11:11:37,11:12:07
1017001014007,1017001014,10260,7,11:12:46,11:13:16
1017001014008,1017001014,10216,8,11:13:57,11:14:27
1017001014009,1017001014,10246,9,11:15:19,11:15:49
1017001014010,1017001014,10264,10,11:16:30,11:17:00
1017001014011,1017001014,10320,11,11:17:54,11:18:24
1017001014012,1017001014,10245,12,11:19:16,11:19:46
1017001014013,1017001014,10310,13,11:20:11,
1017001015001,1017001015,10170,1,,11:10:00
1017001015002,1017001015,10295,2,11:10:48,11:11:18
1017001015003,1017001015,10219,3,11:12:20,11:12:50
1017001015004,1017001015,10243,4,11:13:39,11:14:09
1017001015005,1017001015,10278,5,11:15:00,11:15:30
1017001015006,1017001015,10222,6,11:16:37,11:17:07
1017001015007,1017001015,10260,7,11:17:46,11:18:16
1017001015008,1017001015,10216,8,11:18:57,11:19:27
1017001015009,1017001015,10246,9,11:20:19,11:20:49
1017001015010,1017001015,10264,10,11:21:30,11:22:00
1017001015011,1017001015,10320,11,11:22:54,11:23:24
1017001015012,1017001015,10245,12,11:24:16,11:24:46
1017001015013,1017001015,10310,13,11:25:11,
1017001016001,1017001016,10170,1,,11:15:00
1017001016002,1017001016,10295,2,11:15:48,11:16:18
1017001016003,1017001016,10219,3,11:17:20,11:17:50
1017001016004,1017001016,10243,4,11:18:39,11:19:09
1017001016005,1017001016,10278,5,11:20:00,11:20:30
1017001016006,1017001016,10222,6,11:21:37,11:22:07
1017001016007,1017001016,10260,7,11:22:46,11:23:16
1017001016008,1017001016,10216,8,11:23:57,11:24:27
1017001016009,1017001016,10246,9,11:25:19,11:25:49
1017001016010,1017001016,10264,10,11:26:30,11:27:00
1017001016011,1017001016,10320,11,11:27:54,11:28:24
1017001016012,1017001016,10245,12,11:29:16,11:29:46
1017001016013,1017001016,10310,13,11:30:11,
1017001017001,1017001017,10170,1,,11:20:00
1017001017002,1017001017,10295,2,11:20:48,11:21:18
1017001017003,1017001017,10219,3,11:22:20,11:22:50
1017001017004,1017001017,10243,4,11:23:39,11:24:09
1017001017005,1017001017,10278,5,11:25:00,11:25:30
1017001017006,1017001017,10222,6,11:26:37,11:27:07
1017001017007,1017001017,10260,7,11:27:46,11:28:16
1017001017008,1017001017,10216,8,11:28:57,11:29:27
1017001017009,1017001017,10246,9,11:30:19,11:30:49
1017001017010,1017001017,10264,10,11:31:30,11:32:00
1017001017011,1017001017,10320,11,11:32:54,11:33:24
1017001017012,1017001017,10245,12,11:34:16,11:34:46
1017001017013,1017001017,10310,13,11:35:11,
1017001018001,1017001018,10170,1,,11:25:00
1017001018002,1017001018,10295,2,11:25:48,11:26:18
1017001018003,1017001018,10219,3,11:27:20,11:27:50
1017001018004,1017001018,10243,4,11:28:39,11:29:09
1017001018005,1017001018,10278,5,11:30:00,11:30:30
1017001018006,1017001018,10222,6,11:31:37,11:32:07
1017001018007,1017001018,10260,7,11:32:46,11:33:16
1017001018008,1017001018,10216,8,11:33:57,11:34:27
1017001018009,1017001018,10246,9,11:35:19,11:35:49
1017001018010,1017001018,10264,10,11:36:30,11:37:00
1017001018011,1017001018,10320,11,11:37:54,11:38:24
1017001018012,1017001018,10245,12,11:39:16,11:39:46
1017001018013,1017001018,10310,13,11:40:11,
1017001019001,1017001019,10170,1,,11:30:00
1017001019002,1017001019,10295,2,11:30:48,11:31:18
1017001019003,1017001019,10219,3,11:32:20,11:32:50
1017001019004,1017001019,10243,4,11:33:39,11:34:09
1017001019005,1017001019,10278,5,11:35:00,11:35:30
1017001019006,1017001019,10222,6,11:36:37,11:37:07
1017001019007,1017001019,10260,7,11:37:46,11:38:16
1017001019008,1017001019,10216,8,11:38:57,11:39:27
1017001019009,1017001019,10246,9,11:40:19,11:40:49
1017001019010,1017001019,10264,10,11:41:30,11:42:00
1017001019011,1017001019,10320,11,11:42:54,11:43:24
1017001019012,1017001019,10245,12,11:44:16,11:44:46
1017001019013,1017001019,10310,13,11:45:11,
1017001020001,1017001020,10170,1,,11:35:00
1017001020002,1017001020,10295,2,11:35:48,11:36:18
1017001020003,1017001020,10219,3,11:37:20,11:37:50
1017001020004,1017001020,10243,4,11:38:39,11:39:09
1017001020005,1017001020,10278,5,11:40:00,11:40:30
1017001020006,1017001020,10222,6,11:41:37,11:42:07
1017001020007,1017001020,10260,7,11:42:46,11:43:16
1017001020008,1017001020,10216,8,11:43:57,11:44:27
1017001020009,1017001020,10246,9,11:45:19,11:45:49
1017001020010,1017001020,10264,10,11:46:30,11:47:00
1017001020011,1017001020,10320,11,11:47:54,11:48:24
1017001020012,1017001020,10245,12,11:49:16,11:49:46
1017001020013,1017001020,10310,13,11:50:11,
1017001021001,1017001021,10170,1,,11:40:00
1017001021002,1017001021,10295,2,11:40:48,11:41:18
1017001021003,1017001021,10219,3,11:42:20,11:42:50
1017001021004,1017001021,10243,4,11:43:39,11:44:09
1017001021005,1017001021,10278,5,11:45:00,11:45:30
1017001021006,1017001021,10222,6,11:46:37,11:47:07
1017001021007,1017001021,10260,7,11:47:46,11:48:16
1017001021008,1017001021,10216,8,11:48:57,11:49:27
1017001021009,1017001021,10246,9,11:50:19,11:50:49
1017001021010,1017001021,10264,10,11:51:30,11:52:00
1017001021011,1017001021,10320,11,11:52:54,11:53:24
1017001021012,1017001021,10245,12,11:54:16,11:54:46
1017001021013,1017001021,10310,13,11:55:11,
1017001022001,1017001022,10170,1,,11:45:00
1017001022002,1017001022,10295,2,11:45:48,11:46:18
1017001022003,1017001022,10219,3,11:47:20,11:47:50
1017001022004,1017001022,10243,4,11:48:39,11:49:09
1017001022005,1017001022,10278,5,11:50:00,11:50:30
1017001022006,1017001022,10222,6,11:51:37,11:52:07
1017001022007,1017001022,10260,7,11:52:46,11:53:16
1017001022008,1017001022,10216,8,11:53:57,11:54:27
1017001022009,1017001022,10246,9,11:55:19,11:55:49
1017001022010,1017001022,10264,10,11:56:30,11:57:00
1017001022011,1017001022,10320,11,11:57:54,11:58:24
1017001022012,1017001022,10245,12,11:59:16,11:59:46
1017001022013,1017001022,10310,13,12:00:11,
1017001023001,1017001023,10170,1,,11:50:00
1017001023002,1017001023,10295,2,11:50:48,11:51:18
1017001023003,1017001023,10219,3,11:52:20,11:52:50
1017001023004,1017001023,10243,4,11:53:39,11:54:09
1017001023005,1017001023,10278,5,11:55:00,11:55:30
1017001023006,1017001023,10222,6,11:56:37,11:57:07
1017001023007,1017001023,10260,7,11:57:46,11:58:16
1017001023008,1017001023,10216,8,11:58:57,11:59:27
1017001023009,1017001023,10246,9,12:00:19,12:00:49
1017001023010,1017001023,10264,10,12:01:30,12:02:00
1017001023011,1017001023,10320,11,12:02:54,12:03:24
1017001023012,1017001023,10245,12,12:04:16,12:04:46
1017001023013,1017001023,10310,13,12:05:11,
1017001024001,1017001024,10170,1,,11:55:00
1017001024002,1017001024,10295,2,11:55:48,11:56:18
1017001024003,1017001024,10219,3,11:57:20,11:57:50
1017001024004,1017001024,10243,4,11:58:39,11:59:09
1017001024005,1017001024,10278,5,12:00:00,12:00:30
1017001024006,1017001024,10222,6,12:01:37,12:02:07
1017001024007,1017001024,10260,7,12:02:46,12:03:16
1017001024008,1017001024,10216,8,12:03:57,12:04:27
1017001024009,1017001024,10246,9,12:05:19,12:05:49
1017001024010,1017001024,10264,10,12:06:30,12:07:00
1017001024011,1017001024,10320,11,12:07:54,12:08:24
1017001024012,1017001024,10245,12,12:09:16,12:09:46
1017001024013,1017001024,10310,13,12:10:11,
1017001025001,1017001025,10170,1,,12:00:00
1017001025002,1017001025,10295,2,12:00:48,12:01:18
1017001025003,1017001025,10219,3,12:02:20,12:02:50
1017001025004,1017001025,10243,4,12:03:39,12:04:09
1017001025005,1017001025,10278,5,12:05:00,12:05:30
1017001025006,1017001025,10222,6,12:06:37,12:07:07
1017001025007,1017001025,10260,7,12:07:46,12:08:16
1017001025008,1017001025,10216,8,12:08:57,12:09:27
1017001025009,1017001025,10246,9,12:10:19,12:10:49
1017001025010,1017001025,10264,10,12:11:30,12:12:00
1017001025011,1017001025,10320,11,12:12:54,12:13:24
1017001025012,1017001025,10245,12,12:14:16,12:14:46
1017001025013,1017001025,10310,13,12:15:11,
1017002001001,1017002001,10310,1,,10:00:00
1017002001002,1017002001,10245,2,10:00:25,10:00:55
1017002001003,1017002001,10320,3,10:01:47,10:02:17
1017002001004,1017002001,10264,4,10:03:11,10:03:41
1017002001005,1017002001,10246,5,10:04:22,10:04:52
1017002001006,1017002001,10216,6,10:05:44,10:06:14
1017002001007,1017002001,10260,7,10:06:55,10:07:25
1017002001008,1017002001,10222,8,10:08:04,10:08:34
1017002001009,1017002001,10278,9,10:09:41,10:10:11
1017002001010,1017002001,10243,10,10:11:02,10:11:32
1017002001011,1017002001,10219,11,10:12:21,10:12:51
1017002001012,1017002001,10295,12,10:13:53,10:14:23
1017002001013,1017002001,10170,13,10:15:11,
1017002002001,1017002002,10310,1,,10:05:00
1017002002002,1017002002,10245,2,10:05:25,10:05:55
1017002002003,1017002002,10320,3,10:06:47,10:07:17
1017002002004,1017002002,10264,4,10:08:11,10:08:41
1017002002005,1017002002,10246,5,10:09:22,10:09:52
1017002002006,1017002002,10216,6,10:10:44,10:11:14
1017002002007,1017002002,10260,7,10:11:55,10:12:25
1017002002008,1017002002,10222,8,10:13:04,10:13:34
1017002002009,1017002002,10278,9,10:14:41,10:15:11
1017002002010,1017002002,10243,10,10:16:02,10:16:32
1017002002011,1017002002,10219,11,10:17:21,10:17:51
1017002002012,1017002002,10295,12,10:18:53,10:19:23
1017002002013,1017002002,10170,13,10:20:11,
1017002003001,1017002003,10310,1,,10:10:00
1017002003002,1017002003,10245,2,10:10:25,10:10:55
1017002003003,1017002003,10320,3,10:11:47,10:12:17
1017002003004,1017002003,10264,4,10:13:11,10:13:41
1017002003005,1017002003,10246,5,10:14:22,10:14:52
1017002003006,1017002003,10216,6,10:15:44,10:16:14
1017002003007,1017002003,10260,7,10:16:55,10:17:25
1017002003008,1017002003,10222,8,10:18:04,10:18:34
1017002003009,1017002003,10278,9,10:19:41,10:20:11
1017002003010,1017002003,10243,10,10:21:02,10:21:32
1017002003011,1017002003,10219,11,10:22:21,10:22:51
1017002003012,1017002003,10295,12,10:23:53,10:24:23
1017002003013,1017002003,10170,13,10:25:11,
1017002004001,1017002004,10310,1,,10:15:00
1017002004002,1017002004,10245,2,10:15:25,10:15:55
1017002004003,1017002004,10320,3,10:16:47,10:17:17
1017002004004,1017002004,10264,4,10:18:11,10:18:41
1017002004005,1017002004,10246,5,10:19:22,10:19:52
1017002004006,1017002004,10216,6,10:20:44,10:21:14
1017002004007,1017002004,10260,7,10:21:55,10:22:25
1017002004008,1017002004,10222,8,10:23:04,10:23:34
1017002004009,1017002004,10278,9,10:24:41,10:25:11
1017002004010,1017002004,10243,10,10:26:02,10:26:32
1017002004011,1017002004,10219,11,10:27:21,10:27:51
1017002004012,1017002004,10295,12,10:28:53,10:29:23
1017002004013,1017002004,10170,13,10:30:11,
1017002005001,1017002005,10310,1,,10:20:00
1017002005002,1017002005,10245,2,10:20:25,10:20:55
1017002005003,1017002005,10320,3,10:21:47,10:22:17
1017002005004,1017002005,10264,4,10:23:11,10:23:41
1017002005005,1017002005,10246,5,10:24:22,10:24:52
1017002005006,1017002005,10216,6,10:25:44,10:26:14
1017002005007,1017002005,10260,7,10:26:55,10:27:25
1017002005008,1017002005,10222,8,10:28:04,10:28:34
1017002005009,1017002005,10278,9,10:29:41,10:30:11
1017002005010,1017002005,10243,10,10:31:02,10:31:32
1017002005011,1017002005,10219,11,10:32:21,10:32:51
1017002005012,1017002005,10295,12,10:33:53,10:34:23
1017002005013,1017002005,10170,13,10:35:11,
1017002006001,1017002006,10310,1,,10:25:00
1017002006002,1017002006,10245,2,10:25:25,10:25:55
1017002006003,1017002006,10320,3,10:26:47,10:27:17
1017002006004,1017002006,10264,4,10:28:11,10:28:41
1017002006005,1017002006,10246,5,10:29:22,10:29:52
1017002006006,1017002006,10216,6,10:30:44,10:31:14
1017002006007,1017002006,10260,7,10:31:55,10:32:25
1017002006008,1017002006,10222,8,10:33:04,10:33:34
1017002006009,1017002006,10278,9,10:34:41,10:35:11
1017002006010,1017002006,10243,10,10:36:02,10:36:32
1017002006011,1017002006,10219,11,10:37:21,10:37:51
1017002006012,1017002006,10295,12,10:38:53,10:39:23
1017002006013,1017002006,10170,13,10:40:11,
1017002007001,1017002007,10310,1,,10:30:00
1017002007002,1017002007,10245,2,10:30:25,10:30:55
1017002007003,1017002007,10320,3,10:31:47,10:32:17
1017002007004,1017002007,10264,4,10:33:11,10:33:41
1017002007005,1017002007,10246,5,10:34:22,10:34:52
1017002007006,1017002007,10216,6,10:35:44,10:36:14
1017002007007,1017002007,10260,7,10:36:55,10:37:25
1017002007008,1017002007,10222,8,10:38:04,10:38:34
1017002007009,1017002007,10278,9,10:39:41,10:40:11
1017002007010,1017002007,10243,10,10:41:02,10:41:32
1017002007011,1017002007,10219,11,10:42:21,10:42:51
1017002007012,1017002007,10295,12,10:43:53,10:44:23
1017002007013,1017002007,10170,13,10:45:11,
1017002008001,1017002008,10310,1,,10:35:00
1017002008002,1017002008,10245,2,10:35:25,10:35:55
1017002008003,1017002008,10320,3,10:36:47,10:37:17
1017002008004,1017002008,10264,4,10:38:11,10:38:41
1017002008005,1017002008,10246,5,10:39:22,10:39:52
1017002008006,1017002008,10216,6,10:40:44,10:41:14
1017002008007,1017002008,10260,7,10:41:55,10:42:25
1017002008008,1017002008,10222,8,10:43:04,10:43:34
1017002008009,1017002008,10278,9,10:44:41,10:45:11
1017002008010,1017002008,10243,10,10:46:02,10:46:32
1017002008011,1017002008,10219,11,10:47:21,10:47:51
1017002008012,1017002008,10295,12,10:48:53,10:49:23
1017002008013,1017002008,10170,13,10:50:11,
1017002009001,1017002009,10310,1,,10:40:00
1017002009002,1017002009,10245,2,10:40:25,10:40:55
1017002009003,1017002009,10320,3,10:41:47,10:42:17
1017002009004,1017002009,10264,4,10:43:11,10:43:41
1017002009005,1017002009,10246,5,10:44:22,10:44:52
1017002009006,1017002009,10216,6,10:45:44,10:46:14
1017002009007,1017002009,10260,7,10:46:55,10:47:25
1017002009008,1017002009,10222,8,10:48:04,10:48:34
1017002009009,1017002009,10278,9,10:49:41,10:50:11
1017002009010,1017002009,10243,10,10:51:02,10:51:32
1017002009011,1017002009,10219,11,10:52:21,10:52:51
1017002009012,1017002009,10295,12,10:53:53,10:54:23
1017002009013,1017002009,10170,13,10:55:11,
1017002010001,1017002010,10310,1,,10:45:00
1017002010002,1017002010,10245,2,10:45:25,10:45:55
1017002010003,1017002010,10320,3,10:46:47,10:47:17
1017002010004,1017002010,10264,4,10:48:11,10:48:41
1017002010005,1017002010,10246,5,10:49:22,10:49:52
1017002010006,1017002010,10216,6,10:50:44,10:51:14
1017002010007,1017002010,10260,7,10:51:55,10:52:25
1017002010008,1017002010,10222,8,10:53:04,10:53:34
1017002010009,1017002010,10278,9,10:54:41,10:55:11
1017002010010,1017002010,10243,10,10:56:02,10:56:32
1017002010011,1017002010,10219,11,10:57:21,10:57:51
1017002010012,1017002010,10295,12,10:58:53,10:59:23
1017002010013,1017002010,10170,13,11:00:11,
1017002011001,1017002011,10310,1,,10:50:00
1017002011002,1017002011,10245,2,10:50:25,10:50:55
1017002011003,1017002011,10320,3,10:51:47,10:52:17
1017002011004,1017002011,10264,4,10:53:11,10:53:41
1017002011005,1017002011,10246,5,10:54:22,10:54:52
1017002011006,1017002011,10216,6,10:55:44,10:56:14
1017002011007,1017002011,10260,7,10:56:55,10:57:25
1017002011008,1017002011,10222,8,10:58:04,10:58:34
1017002011009,1017002011,10278,9,10:59:41,11:00:11
1017002011010,1017002011,10243,10,11:01:02,11:01:32
1017002011011,1017002011,10219,11,11:02:21,11:02:51
1017002011012,1017002011,10295,12,11:03:53,11:04:23
1017002011013,1017002011,10170,13,11:05:11,
1017002012001,1017002012,10310,1,,10:55:00
1017002012002,1017002012,10245,2,10:55:25,10:55:55
1017002012003,1017002012,10320,3,10:56:47,10:57:17
1017002012004,1017002012,10264,4,10:58:11,10:58:41
1017002012005,1017002012,10246,5,10:59:22,10:59:52
1017002012006,1017002012,10216,6,11:00:44,11:01:14
1017002012007,1017002012,10260,7,11:01:55,11:02:25
1017002012008,1017002012,10222,8,11:03:04,11:03:34
1017002012009,1017002012,10278,9,11:04:41,11:05:11
1017002012010,1017002012,10243,10,11:06:02,11:06:32
1017002012011,1017002012,10219,11,11:07:21,11:07:51
1017002012012,1017002012,10295,12,11:08:53,11:09:23
1017002012013,1017002012,10170,13,11:10:11,
1017002013001,1017002013,10310,1,,11:00:00
1017002013002,1017002013,10245,2,11:00:25,11:00:55
1017002013003,1017002013,10320,3,11:01:47,11:02:17
1017002013004,1017002013,10264,4,11:03:11,11:03:41
1017002013005,1017002013,10246,5,11:04:22,11:04:52
1017002013006,1017002013,10216,6,11:05:44,11:06:14
1017002013007,1017002013,10260,7,11:06:55,11:07:25
1017002013008,1017002013,10222,8,11:08:04,11:08:34
1017002013009,1017002013,10278,9,11:09:41,11:10:11
1017002013010,1017002013,10243,10,11:11:02,11:11:32
1017002013011,1017002013,10219,11,11:12:21,11:12:51
1017002013012,1017002013,10295,12,11:13:53,11:14:23
1017002013013,1017002013,10170,13,11:15:11,
1017002014001,1017002014,10310,1,,11:05:00
1017002014002,1017002014,10245,2,11:05:25,11:05:55
1017002014003,1017002014,10320,3,11:06:47,11:07:17
1017002014004,1017002014,10264,4,11:08:11,11:08:41
1017002014005,1017002014,10246,5,11:09:22,11:09:52
1017002014006,1017002014,10216,6,11:10:44,11:11:14
1017002014007,1017002014,10260,7,11:11:55,11:12:25
1017002014008,1017002014,10222,8,11:13:04,11:13:34
1017002014009,1017002014,10278,9,11:14:41,11:15:11
1017002014010,1017002014,10243,10,11:16:02,11:16:32
1017002014011,1017002014,10219,11,11:17:21,11:17:51
1017002014012,1017002014,10295,12,11:18:53,11:19:23
1017002014013,1017002014,10170,13,11:20:11,
1017002015001,1017002015,10310,1,,11:10:00
1017002015002,1017002015,10245,2,11:10:25,11:10:55
1017002015003,1017002015,10320,3,11:11:47,11:12:17
1017002015004,1017002015,10264,4,11:13:11,11:13:41
